"month","hour","Total"
"Apr","0",11910
"Apr","1",7769
"Apr","2",4935
"Apr","3",5040
"Apr","4",6095
"Apr","5",9476
"Apr","6",18498
"Apr","7",24924
"Apr","8",22843
"Apr","9",17939
"Apr","10",17865
"Apr","11",18774
"Apr","12",19425
"Apr","13",22603
"Apr","14",27190
"Apr","15",35324
"Apr","16",42003
"Apr","17",45475
"Apr","18",43003
"Apr","19",38923
"Apr","20",36244
"Apr","21",36964
"Apr","22",30645
"Apr","23",20649
"May","0",13875
"May","1",8186
"May","2",5372
"May","3",5946
"May","4",6945
"May","5",10789
"May","6",21015
"May","7",27413
"May","8",25460
"May","9",20507
"May","10",20801
"May","11",22055
"May","12",23595
"May","13",27699
"May","14",34363
"May","15",43087
"May","16",49127
"May","17",51508
"May","18",48965
"May","19",42387
"May","20",40731
"May","21",42217
"May","22",35556
"May","23",24836
"Jun","0",14514
"Jun","1",9167
"Jun","2",6189
"Jun","3",6937
"Jun","4",7701
"Jun","5",11955
"Jun","6",22030
"Jun","7",30834
"Jun","8",29771
"Jun","9",24298
"Jun","10",23584
"Jun","11",24155
"Jun","12",25233
"Jun","13",28937
"Jun","14",34428
"Jun","15",41586
"Jun","16",48162
"Jun","17",50452
"Jun","18",45013
"Jun","19",38203
"Jun","20",40108
"Jun","21",40791
"Jun","22",35614
"Jun","23",24182
"Jul","0",17953
"Jul","1",11527
"Jul","2",8562
"Jul","3",9199
"Jul","4",10040
"Jul","5",14932
"Jul","6",23456
"Jul","7",32545
"Jul","8",33387
"Jul","9",28486
"Jul","10",28558
"Jul","11",30120
"Jul","12",30900
"Jul","13",35832
"Jul","14",41357
"Jul","15",46053
"Jul","16",52403
"Jul","17",58260
"Jul","18",57268
"Jul","19",52332
"Jul","20",51859
"Jul","21",49528
"Jul","22",42218
"Jul","23",29346
"Aug","0",21451
"Aug","1",14471
"Aug","2",10105
"Aug","3",10376
"Aug","4",11774
"Aug","5",16525
"Aug","6",24907
"Aug","7",34064
"Aug","8",34566
"Aug","9",30195
"Aug","10",30706
"Aug","11",31778
"Aug","12",32106
"Aug","13",35764
"Aug","14",40644
"Aug","15",48197
"Aug","16",53481
"Aug","17",57122
"Aug","18",55390
"Aug","19",53008
"Aug","20",51674
"Aug","21",51354
"Aug","22",46008
"Aug","23",33609
"Sep","0",24133
"Sep","1",16107
"Sep","2",10702
"Sep","3",10789
"Sep","4",12675
"Sep","5",20262
"Sep","6",33307
"Sep","7",43314
"Sep","8",44477
"Sep","9",38542
"Sep","10",37634
"Sep","11",38821
"Sep","12",39193
"Sep","13",45042
"Sep","14",52643
"Sep","15",61219
"Sep","16",68224
"Sep","17",73373
"Sep","18",75040
"Sep","19",69660
"Sep","20",63988
"Sep","21",60606
"Sep","22",51817
"Sep","23",36568
