"month","dayofweek","Total"
"Apr","Sun",51251
"Apr","Mon",60861
"Apr","Tue",91185
"Apr","Wed",108631
"Apr","Thu",85067
"Apr","Fri",90303
"Apr","Sat",77218
"May","Sun",56168
"May","Mon",63846
"May","Tue",76662
"May","Wed",89857
"May","Thu",128921
"May","Fri",133991
"May","Sat",102990
"Jun","Sun",79656
"Jun","Mon",94655
"Jun","Tue",88134
"Jun","Wed",99654
"Jun","Thu",115325
"Jun","Fri",105056
"Jun","Sat",81364
"Jul","Sun",76327
"Jul","Mon",93189
"Jul","Tue",137454
"Jul","Wed",147717
"Jul","Thu",148439
"Jul","Fri",102735
"Jul","Sat",90260
"Aug","Sun",110246
"Aug","Mon",91633
"Aug","Tue",107124
"Aug","Wed",115256
"Aug","Thu",124117
"Aug","Fri",148674
"Aug","Sat",132225
"Sep","Sun",116532
"Sep","Mon",137288
"Sep","Tue",163230
"Sep","Wed",135373
"Sep","Thu",153276
"Sep","Fri",160380
"Sep","Sat",162057
